### bench v5  load averages: 2.09 4.33 4.62
header: hdr/chainhash_v5.h; calibrated core frequency: 3.256 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
     32 |     12.8     12.8 |     69.8     69.7 |     8.41 | 3.36
     47 |     16.0     16.0 |     71.8     71.8 |     9.53 | 3.25
     48 |     15.1     15.2 |     73.0     72.0 |    10.63 | 3.34
     63 |     18.2     18.1 |     73.6     72.9 |    11.64 | 3.36
     64 |     13.1     13.0 |     70.8     71.1 |    15.89 | 3.26
    100 |     20.0     19.9 |     77.7     77.1 |    16.30 | 3.26
    127 |     22.1     22.4 |     79.9     79.8 |    18.67 | 3.25
    128 |     17.5     17.6 |     74.5     73.3 |    23.75 | 3.25
    255 |     30.8     30.5 |     84.1     83.6 |    27.39 | 3.31
    256 |     26.1     26.1 |     77.8     77.7 |    31.98 | 3.26
    257 |     29.2     29.5 |     79.6     79.6 |    28.67 | 3.26
    511 |     49.0     49.2 |     92.5     92.5 |    34.33 | 3.29
    512 |     42.3     42.5 |     86.0     87.0 |    39.35 | 3.25
    513 |     53.0     53.9 |     98.4     98.1 |    31.99 | 3.30
   1024 |     76.8     78.3 |    100.8     99.8 |    44.25 | 3.32
   1025 |     89.0     90.1 |    119.1    119.7 |    39.90 | 3.46
   4096 |    250.3    257.6 |    269.7    271.4 |    54.33 | 3.32
  16384 |    884.8    891.2 |    904.2    917.6 |    64.44 | 3.48
   avg lat4 over 1..31 B: 70.59 (min-based)  70.24 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.1 |      8.2      8.2 |     0.00 | 3.48
      1 |     11.5     11.8 |     71.1     71.2 |     0.30 | 3.47
      2 |     11.0     11.2 |     71.3     71.3 |     0.59 | 3.24
      3 |     11.1     11.1 |     70.7     71.2 |     0.88 | 3.24
      4 |     10.6     10.6 |     68.6     68.6 |     1.25 | 3.33
      5 |     10.6     10.6 |     68.8     68.5 |     1.58 | 3.34
      6 |     10.4     10.8 |     68.7     68.6 |     1.91 | 3.32
      7 |     10.8     10.6 |     68.5     68.5 |     2.17 | 3.34
      8 |     10.0     10.1 |     67.2     67.1 |     2.65 | 3.31
      9 |      9.6     10.2 |     68.0     67.2 |     3.13 | 3.35
     10 |      9.9      9.9 |     67.8     67.7 |     3.33 | 3.30
     11 |     10.1     10.3 |     68.4     67.7 |     3.79 | 3.47
     12 |     10.4     10.4 |     67.6     67.3 |     4.02 | 3.49
     13 |     10.1     10.2 |     67.3     67.6 |     4.17 | 3.24
     14 |      9.9     10.3 |     67.2     66.6 |     4.75 | 3.36
     15 |     10.3     10.3 |     67.3     67.2 |     4.83 | 3.32
     16 |      9.8      9.9 |     69.2     64.9 |     5.42 | 3.32
     17 |     13.0     13.0 |     67.6     67.5 |     4.30 | 3.30
     18 |     12.9     13.2 |     67.3     67.3 |     4.64 | 3.33
     19 |     12.7     12.9 |     66.9     67.2 |     5.18 | 3.47
     20 |     13.0     13.2 |     67.5     67.1 |     5.05 | 3.29
     21 |     12.8     12.9 |     66.5     66.8 |     5.47 | 3.34
     22 |     13.2     13.2 |     67.2     67.4 |     5.74 | 3.45
     23 |     13.3     13.2 |     66.8     67.2 |     5.70 | 3.31
     24 |     13.2     13.2 |     66.5     66.5 |     6.20 | 3.42
     25 |     12.4     12.8 |     66.6     66.4 |     6.39 | 3.17
     26 |     12.7     12.8 |     66.6     66.3 |     6.74 | 3.30
     27 |     12.8     12.8 |     66.5     66.6 |     7.39 | 3.49
     28 |     12.8     12.8 |     64.9     66.7 |     7.64 | 3.50
     29 |     12.7     12.8 |     66.6     66.5 |     7.70 | 3.37
     30 |     12.8     12.7 |     66.7     66.5 |     8.19 | 3.50
     31 |     12.6     12.7 |     66.5     66.4 |     8.56 | 3.49
     32 |     12.3     12.3 |     66.3     67.1 |     9.09 | 3.49
     47 |     15.0     14.9 |     68.7     68.7 |    10.48 | 3.34
     48 |     14.4     14.4 |     68.6     68.4 |    11.64 | 3.49
     63 |     17.2     17.2 |     70.9     70.5 |    12.33 | 3.36
     64 |     12.2     12.1 |     68.9     68.4 |    17.67 | 3.36
    100 |     21.8     22.1 |     81.8     81.7 |    15.81 | 3.44
    127 |     23.4     23.4 |     81.6     80.9 |    18.12 | 3.34
    128 |     19.8     19.8 |     82.0     81.1 |    21.67 | 3.35
    255 |     35.7     35.2 |    103.7    103.9 |    24.01 | 3.36
    256 |     32.9     32.9 |    103.4    103.3 |    27.14 | 3.49
    257 |     39.1     39.1 |    114.8    114.1 |    21.84 | 3.32
    511 |     64.8     64.1 |    145.7    145.7 |    27.58 | 3.50
    512 |     62.0     61.5 |    147.6    145.6 |    27.66 | 3.35
    513 |     69.2     68.3 |    158.7    157.0 |    24.91 | 3.36
   1024 |    132.9    131.1 |    236.8    233.5 |    25.89 | 3.36
   1025 |    139.7    139.8 |    246.3    246.6 |    25.36 | 3.46
   4096 |    607.5    600.3 |    763.7    756.6 |    22.62 | 3.35
  16384 |   2720.7   2684.0 |   2836.3   2836.6 |    20.23 | 3.36
   avg lat4 over 1..31 B: 67.69 (min-based)  67.54 (median)
### bench v7  load averages: 2.23 4.28 4.60
header: hdr/chainhash_v7.h; calibrated core frequency: 3.391 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      7.9      7.9 |      8.0      8.0 |     0.00 | 3.46
      1 |     10.8     10.9 |     70.1     70.6 |     0.31 | 3.35
      2 |     10.7     10.7 |     70.7     70.7 |     0.62 | 3.31
      3 |     10.9     10.7 |     70.5     69.9 |     0.90 | 3.26
      4 |     10.5     10.4 |     68.3     68.2 |     1.34 | 3.50
      5 |     10.5     10.4 |     68.9     68.2 |     1.60 | 3.36
      6 |     10.5     10.4 |     68.5     67.9 |     2.01 | 3.49
      7 |     10.3     10.3 |     68.3     68.3 |     2.34 | 3.46
      8 |     10.1     10.0 |     67.1     66.5 |     2.67 | 3.36
      9 |     10.1     10.0 |     66.9     66.5 |     3.01 | 3.36
     10 |     10.0     10.0 |     67.1     66.4 |     3.35 | 3.36
     11 |     10.1     10.0 |     66.9     66.4 |     3.67 | 3.36
     12 |      9.9     10.0 |     66.7     66.3 |     4.01 | 3.31
     13 |     10.0     10.0 |     66.7     66.0 |     4.34 | 3.35
     14 |     10.0     10.0 |     66.8     66.3 |     4.64 | 3.32
     15 |     10.0     10.0 |     66.8     66.5 |     5.02 | 3.36
     16 |      9.9      9.9 |     64.8     64.0 |     5.60 | 3.46
     17 |     13.0     13.0 |     67.5     67.0 |     4.52 | 3.47
     18 |     13.1     13.4 |     67.9     67.6 |     4.59 | 3.33
     19 |     13.1     13.2 |     68.1     67.4 |     5.05 | 3.48
     20 |     13.0     13.0 |     66.5     66.1 |     5.10 | 3.31
     21 |     13.0     13.0 |     66.3     66.1 |     5.36 | 3.31
     22 |     13.2     13.0 |     66.8     66.1 |     5.61 | 3.36
     23 |     13.2     13.0 |     66.5     66.0 |     5.87 | 3.36
     24 |     13.2     13.1 |     66.4     66.4 |     6.12 | 3.36
     25 |     13.2     13.1 |     66.6     66.2 |     6.38 | 3.36
     26 |     13.0     13.0 |     66.1     66.4 |     6.63 | 3.31
