### bench v5  load averages: 2.09 4.33 4.62
header: hdr/chainhash_v5.h; calibrated core frequency: 3.256 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
     18 |     69.1     70.5 |     75.5     75.3 |     76.1     75.8
     19 |     69.1     70.7 |     74.0     75.4 |     77.8     75.9
     20 |     69.5     69.7 |     74.3     74.1 |     75.7     75.4
     21 |     70.8     70.0 |     75.5     75.7 |     76.0     76.1
     22 |     69.7     70.2 |     75.7     74.8 |     73.3     75.6
     23 |     73.0     70.0 |     75.5     75.7 |     75.6     75.8
     24 |     71.6     71.5 |     72.7     74.0 |     75.1     75.2
     25 |     69.9     70.4 |     75.3     75.9 |     75.7     75.0
     26 |     72.8     70.7 |     75.1     75.4 |     76.4     74.3
     27 |     69.1     70.7 |     76.2     76.1 |     75.1     76.0
     28 |     70.4     70.4 |     75.3     75.2 |     75.1     75.2
     29 |     69.3     69.5 |     72.7     74.4 |     75.3     75.3
     30 |     70.1     69.9 |     74.4     74.4 |     75.3     75.0
     31 |     69.5     70.1 |     74.7     74.2 |     74.9     75.3
     32 |     69.8     69.7 |     75.4     74.6 |     74.8     74.5
     64 |     72.4     71.7 |     77.0     76.9 |     76.5     76.3
    100 |     78.4     77.5 |     83.9     82.9 |     82.1     81.7
    255 |     83.3     84.2 |     88.5     88.5 |     86.9     87.6
    256 |     77.7     77.5 |     82.6     82.1 |     82.0     81.8
    512 |     85.6     84.5 |     90.3     89.7 |     90.2     89.5
   1024 |     96.8     96.5 |    103.0    102.5 |    103.0    102.1
   avg over 1..31 B (min-based): lat4 70.98  lat4w 76.07  lat4i 76.07
### harness v5  load averages: 2.38 4.18 4.56
Reading random bytes from seed
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":16384,"gbps":19.9058,"gbps_min":19.6147,"gbps_max":20.6275,"ns_per_call":823.08,"reps":614152,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":16384,"gbps":58.2404,"gbps_min":57.7092,"gbps_max":58.9867,"ns_per_call":281.32,"reps":1669819,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":16384,"gbps":61.5593,"gbps_min":60.4036,"gbps_max":61.6205,"ns_per_call":266.15,"reps":1868081,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":512,"gbps":26.4073,"gbps_min":26.2082,"gbps_max":26.9258,"ns_per_call":19.39,"reps":25588521,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":512,"gbps":36.7469,"gbps_min":36.2405,"gbps_max":37.0279,"ns_per_call":13.93,"reps":36023225,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":512,"gbps":40.1250,"gbps_min":39.8694,"gbps_max":40.4876,"ns_per_call":12.76,"reps":39269692,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
### harness v7  load averages: 2.57 4.14 4.54
Reading random bytes from seed
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":16384,"gbps":26.8009,"gbps_min":26.4667,"gbps_max":27.1103,"ns_per_call":611.32,"reps":820710,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":16384,"gbps":58.1751,"gbps_min":56.7828,"gbps_max":59.2150,"ns_per_call":281.63,"reps":1819958,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":16384,"gbps":57.9987,"gbps_min":55.1154,"gbps_max":61.9296,"ns_per_call":282.49,"reps":1794565,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":512,"gbps":27.1454,"gbps_min":26.9921,"gbps_max":28.1267,"ns_per_call":18.86,"reps":26721978,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":512,"gbps":36.3056,"gbps_min":35.8623,"gbps_max":37.0186,"ns_per_call":14.10,"reps":34056471,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":512,"gbps":40.1693,"gbps_min":39.6191,"gbps_max":40.3816,"ns_per_call":12.75,"reps":39856550,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
### done load averages: 2.87 4.13 4.53
