### bench v7  load averages: 2.43 3.30 3.99
header: hdr/chainhash_v7.h; calibrated core frequency: 3.332 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
   4096 |    248.5    246.7 |    266.1    264.7 |    55.37 | 3.36
  16384 |    923.7    921.0 |    942.2    938.0 |    59.58 | 3.36
   avg lat4 over 1..31 B: 67.59 (min-based)  67.56 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      8.0 |     0.00 | 3.36
      1 |     11.6     11.6 |     73.3     73.2 |     0.29 | 3.36
      2 |     11.6     11.5 |     73.3     73.2 |     0.58 | 3.36
      3 |     11.6     11.5 |     73.2     73.0 |     0.87 | 3.36
      4 |     10.9     10.9 |     72.0     71.7 |     1.23 | 3.36
      5 |     11.0     10.9 |     71.7     71.2 |     1.53 | 3.36
      6 |     10.9     10.9 |     71.9     71.3 |     1.84 | 3.36
      7 |     10.9     10.9 |     71.7     71.3 |     2.09 | 3.26
      8 |     10.7     10.6 |     71.0     69.7 |     2.46 | 3.28
      9 |     10.7     10.6 |     69.7     69.3 |     2.77 | 3.28
     10 |     10.7     10.5 |     69.6     69.3 |     3.15 | 3.36
     11 |     10.4     10.5 |     69.8     69.4 |     3.46 | 3.28
     12 |     11.1     10.8 |     70.6     69.5 |     3.75 | 3.48
     13 |     10.6     10.7 |     69.9     69.3 |     3.99 | 3.26
     14 |     10.7     10.5 |     69.0     68.6 |     4.29 | 3.26
     15 |     10.7     10.5 |     69.8     69.4 |     4.93 | 3.50
     16 |     10.1     10.1 |     67.3     67.1 |     5.35 | 3.38
     17 |     13.6     13.6 |     70.2     69.8 |     4.24 | 3.41
     18 |     13.6     13.7 |     69.3     69.7 |     4.30 | 3.25
     19 |     13.4     13.6 |     70.9     70.3 |     4.68 | 3.29
     20 |     13.4     13.5 |     69.7     69.4 |     4.84 | 3.25
     21 |     13.6     13.5 |     69.5     69.1 |     5.10 | 3.31
     22 |     13.5     13.5 |     69.9     69.8 |     5.41 | 3.32
     23 |     13.5     13.6 |     69.7     69.0 |     5.57 | 3.27
     24 |     13.6     13.5 |     69.7     69.5 |     5.90 | 3.35
     25 |     13.3     13.5 |     69.1     69.3 |     6.16 | 3.29
     26 |     13.5     13.5 |     69.7     69.2 |     6.39 | 3.31
     27 |     13.5     13.7 |     69.6     69.2 |     6.50 | 3.26
     28 |     13.6     13.8 |     69.3     68.9 |     6.89 | 3.34
     29 |     13.5     13.5 |     69.6     69.6 |     7.13 | 3.31
     30 |     13.7     13.7 |     69.1     68.9 |     7.67 | 3.49
     31 |     13.7     13.5 |     69.7     69.3 |     7.63 | 3.36
     32 |     12.3     12.2 |     70.2     69.2 |     8.52 | 3.26
     47 |     15.7     15.6 |     71.5     71.0 |    10.06 | 3.36
     48 |     14.5     14.3 |     71.5     71.3 |    11.14 | 3.36
     63 |     17.8     17.7 |     73.6     73.2 |    11.86 | 3.36
     64 |     12.8     12.6 |     71.1     70.7 |    16.84 | 3.36
    100 |     19.5     19.4 |     76.8     77.3 |    17.92 | 3.49
    127 |     21.7     21.5 |     77.0     78.9 |    19.65 | 3.36
    128 |     17.2     17.0 |     72.2     73.0 |    26.03 | 3.50
    255 |     30.2     29.9 |     82.9     82.5 |    28.11 | 3.33
    256 |     25.2     25.9 |     76.9     77.1 |    32.61 | 3.21
    257 |     28.7     29.2 |     78.7     78.9 |    29.31 | 3.28
    511 |     47.7     48.2 |     90.1     90.2 |    35.12 | 3.28
    512 |     40.3     41.0 |     87.3     85.9 |    41.56 | 3.27
    513 |     51.8     52.5 |     99.7     97.1 |    32.21 | 3.25
   1024 |     75.4     76.9 |     96.2     97.4 |    45.46 | 3.35
   1025 |     86.8     87.7 |    117.4    118.3 |    39.78 | 3.37
   4096 |    253.9    252.7 |    268.4    270.0 |    54.01 | 3.35
  16384 |    878.8    882.0 |    887.5    889.4 |    62.46 | 3.35
   avg lat4 over 1..31 B: 70.29 (min-based)  69.92 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      7.9      7.9 |      8.0      8.0 |     0.00 | 3.48
      1 |     10.5     10.9 |     70.9     70.1 |     0.32 | 3.37
      2 |     10.9     10.7 |     70.8     70.1 |     0.62 | 3.36
      3 |     10.1     10.9 |     70.8     70.0 |     0.97 | 3.26
      4 |     10.4     10.5 |     68.4     68.3 |     1.25 | 3.25
      5 |     10.5     10.4 |     68.2     68.2 |     1.56 | 3.26
      6 |     10.3     10.4 |     68.9     67.6 |     1.87 | 3.22
      7 |     10.3     10.3 |     68.2     68.4 |     2.23 | 3.30
      8 |     10.1     10.1 |     67.9     67.4 |     2.65 | 3.34
      9 |     10.3     10.2 |     67.6     67.6 |     2.91 | 3.33
     10 |     10.1     10.3 |     68.5     68.1 |     3.21 | 3.24
     11 |     10.2     10.5 |     67.1     67.7 |     3.48 | 3.23
     12 |     10.0     10.0 |     66.8     66.7 |     3.89 | 3.25
     13 |     10.0     10.0 |     66.1     66.1 |     4.22 | 3.26
     14 |      9.8     10.1 |     67.4     66.8 |     4.64 | 3.27
     15 |     10.4     10.5 |     66.8     66.3 |     4.77 | 3.31
     16 |      9.7      9.6 |     64.3     64.9 |     5.37 | 3.26
     17 |     12.6     12.9 |     68.4     66.7 |     4.43 | 3.28
     18 |     12.5     12.5 |     67.3     66.3 |     4.79 | 3.33
     19 |     12.6     12.6 |     67.7     66.8 |     4.90 | 3.26
     20 |     12.5     12.6 |     66.5     65.8 |     5.32 | 3.31
     21 |     12.5     12.6 |     67.1     66.2 |     5.42 | 3.22
     22 |     12.5     12.5 |     67.5     66.0 |     5.84 | 3.31
     23 |     12.6     12.6 |     65.9     66.2 |     5.94 | 3.26
     24 |     12.6     12.5 |     68.8     66.3 |     6.38 | 3.36
     25 |     12.6     12.6 |     66.7     66.1 |     6.61 | 3.33
     26 |     12.6     12.7 |     66.4     66.1 |     7.20 | 3.48
     27 |     12.6     12.5 |     66.1     66.2 |     7.18 | 3.36
     28 |     12.5     12.5 |     66.5     66.3 |     7.44 | 3.31
     29 |     12.5     12.5 |     66.1     66.0 |     7.71 | 3.32
     30 |     12.5     12.5 |     66.4     66.1 |     7.97 | 3.33
     31 |     12.6     12.5 |     66.6     65.8 |     8.24 | 3.36
     32 |     12.0     11.9 |     66.2     65.5 |     8.93 | 3.36
     47 |     14.9     14.8 |     68.5     68.1 |    10.62 | 3.36
     48 |     14.2     14.2 |     68.5     68.6 |    11.33 | 3.35
     63 |     16.9     16.7 |     70.5     69.7 |    12.50 | 3.36
     64 |     12.3     12.2 |     69.0     68.1 |    17.44 | 3.36
    100 |     24.5     24.2 |     85.9     84.5 |    13.70 | 3.36
    127 |     25.7     26.0 |     84.4     83.5 |    16.28 | 3.30
    128 |     22.1     22.0 |     86.0     84.8 |    19.27 | 3.33
    255 |     38.5     38.1 |     99.6     99.0 |    22.25 | 3.36
    256 |     34.0     33.8 |    100.3     99.6 |    24.59 | 3.26
    257 |     39.5     39.3 |    108.2    108.1 |    21.04 | 3.23
    511 |     62.7     62.2 |    132.1    131.2 |    27.03 | 3.31
    512 |     59.6     58.9 |    131.3    131.3 |    28.87 | 3.36
    513 |     64.3     64.1 |    140.3    138.2 |    26.45 | 3.31
   1024 |    117.0    115.4 |    194.8    194.3 |    29.41 | 3.36
   1025 |    123.6    122.6 |    204.5    203.9 |    27.81 | 3.35
   4096 |    479.0    478.3 |    579.1    576.1 |    29.85 | 3.49
  16384 |   2018.0   2013.4 |   2111.2   2112.4 |    27.25 | 3.36
   avg lat4 over 1..31 B: 67.51 (min-based)  67.00 (median)
### bench v8  load averages: 2.91 3.37 4.01
header: hdr/chainhash_v8.h; calibrated core frequency: 3.318 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      7.9 |      8.0      8.0 |     0.00 | 3.34
      1 |     10.4     10.8 |     71.9     71.1 |     0.31 | 3.27
      2 |     10.9     11.2 |     72.1     71.1 |     0.60 | 3.29
      3 |     11.4     11.5 |     71.5     71.3 |     0.86 | 3.26
      4 |     10.5     10.5 |     68.6     68.3 |     1.28 | 3.35
      5 |     10.5     10.4 |     68.4     67.9 |     1.56 | 3.26
      6 |     10.5     10.4 |     68.1     68.1 |     1.92 | 3.36
      7 |     10.2     10.5 |     68.3     67.7 |     2.23 | 3.25
      8 |     10.0     10.1 |     67.3     67.2 |     2.74 | 3.42
      9 |     10.0     10.1 |     67.3     67.0 |     2.92 | 3.26
     10 |     10.2     10.4 |     67.1     67.5 |     3.28 | 3.34
     11 |     10.1     10.1 |     68.3     68.0 |     3.81 | 3.49
     12 |     10.2     10.4 |     67.2     67.1 |     3.92 | 3.32
     13 |     10.0     10.1 |     66.9     66.9 |     4.53 | 3.50
     14 |     10.1     10.1 |     66.8     66.9 |     4.87 | 3.50
     15 |     10.1     10.1 |     66.8     67.0 |     5.01 | 3.36
     16 |     10.0     10.1 |     64.8     64.5 |     5.35 | 3.35
     17 |     13.2     13.2 |     67.3     67.3 |     4.33 | 3.36
     18 |     13.2     13.3 |     67.5     67.3 |     4.76 | 3.49
     19 |     13.2     13.1 |     68.4     67.3 |     4.80 | 3.34
     20 |     13.1     13.2 |     67.1     66.9 |     4.99 | 3.28
     21 |     13.3     13.2 |     68.2     66.9 |     5.32 | 3.36
     22 |     13.2     13.3 |     66.6     66.8 |     5.57 | 3.35
     23 |     13.2     13.2 |     66.8     66.7 |     5.85 | 3.36
     24 |     13.3     13.3 |     66.7     67.1 |     6.07 | 3.35
     25 |     13.1     13.2 |     66.6     66.6 |     6.36 | 3.34
     26 |     13.2     13.2 |     66.8     66.7 |     6.61 | 3.36
     27 |     13.6     13.6 |     67.1     66.8 |     6.92 | 3.47
     28 |     13.5     13.3 |     66.8     66.7 |     7.25 | 3.49
     29 |     13.2     13.3 |     69.6     67.2 |     7.42 | 3.38
     30 |     13.2     13.3 |     66.7     66.9 |     7.72 | 3.40
     31 |     13.0     13.2 |     66.7     66.8 |     7.87 | 3.30
     32 |     12.5     12.5 |     66.8     66.8 |     8.59 | 3.35
     47 |     15.3     15.3 |     68.3     68.3 |    10.31 | 3.36
     48 |     14.3     14.1 |     68.4     68.4 |    11.46 | 3.41
     63 |     17.6     17.5 |     70.5     70.3 |    12.57 | 3.50
     64 |     12.5     12.4 |     68.3     68.4 |    17.94 | 3.50
    100 |     19.3     19.2 |     74.6     74.6 |    18.14 | 3.50
    127 |     21.3     21.3 |     76.8     76.0 |    20.84 | 3.50
    128 |     16.7     16.7 |     70.6     70.3 |    26.85 | 3.50
    255 |     30.0     29.9 |     80.1     79.4 |    29.80 | 3.50
    256 |     24.7     24.6 |     74.8     74.4 |    36.27 | 3.50
    257 |     34.5     34.4 |     87.3     86.9 |    26.10 | 3.50
    511 |     54.8     54.1 |     87.3     86.8 |    32.68 | 3.50
    512 |     45.9     45.8 |     87.5     88.1 |    39.10 | 3.50
    513 |     50.7     51.0 |     98.4     98.0 |    33.60 | 3.32
   1024 |     74.7     74.1 |    109.7    109.0 |    48.05 | 3.50
   1025 |     82.9     80.0 |    120.5    119.4 |    43.03 | 3.48
   4096 |    249.0    247.2 |    266.4    265.8 |    57.58 | 3.50
  16384 |    923.5    918.3 |    941.4    933.3 |    62.14 | 3.50
   avg lat4 over 1..31 B: 67.75 (min-based)  67.47 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      7.9 |      8.0      7.9 |     0.00 | 3.50
      1 |     11.6     11.5 |     73.6     72.8 |     0.30 | 3.50
      2 |     11.6     11.4 |     72.9     73.4 |     0.60 | 3.50
      3 |     11.6     11.4 |     73.6     73.4 |     0.91 | 3.50
      4 |     10.8     10.8 |     72.1     71.3 |     1.28 | 3.46
      5 |     10.9     10.8 |     71.5     71.4 |     1.60 | 3.50
      6 |     10.9     10.8 |     71.7     71.3 |     1.92 | 3.50
      7 |     10.9     10.8 |     71.8     71.6 |     2.24 | 3.50
      8 |     10.7     10.5 |     70.1     69.5 |     2.63 | 3.50
      9 |     10.7     10.6 |     70.3     69.7 |     2.96 | 3.50
     10 |     10.7     10.5 |     69.9     70.4 |     3.28 | 3.50
     11 |     10.7     10.7 |     69.5     69.9 |     3.61 | 3.50
     12 |     10.6     10.6 |     68.8     70.0 |     3.94 | 3.49
     13 |     10.4     10.5 |     69.7     70.0 |     4.27 | 3.43
     14 |     10.3     10.5 |     69.5     68.7 |     4.59 | 3.39
     15 |     10.6     10.6 |     70.5     69.8 |     4.92 | 3.48
     16 |     10.3     10.4 |     67.8     66.8 |     5.04 | 3.24
     17 |     13.6     13.9 |     71.5     70.0 |     4.09 | 3.26
     18 |     13.5     13.6 |     70.6     69.3 |     4.60 | 3.46
     19 |     13.6     13.6 |     69.5     69.7 |     4.85 | 3.48
     20 |     13.6     13.5 |     69.4     69.5 |     5.14 | 3.48
     21 |     13.7     13.7 |     70.0     69.5 |     5.38 | 3.50
     22 |     13.7     13.6 |     68.4     68.9 |     5.62 | 3.49
     23 |     13.7     13.6 |     70.4     69.2 |     5.88 | 3.50
     24 |     13.7     13.7 |     69.4     69.1 |     6.13 | 3.50
     25 |     13.5     13.7 |     68.6     68.9 |     6.39 | 3.46
     26 |     13.5     13.6 |     69.7     69.1 |     6.64 | 3.44
     27 |     13.6     13.7 |     69.1     69.1 |     6.90 | 3.47
     28 |     13.5     13.7 |     68.6     68.9 |     7.15 | 3.45
     29 |     13.7     13.5 |     69.7     68.8 |     6.91 | 3.26
     30 |     13.2     13.5 |     70.6     69.6 |     7.66 | 3.36
     31 |     13.7     13.6 |     69.5     68.7 |     7.92 | 3.50
     32 |     12.7     12.7 |     69.6     69.0 |     8.79 | 3.49
     47 |     15.8     15.8 |     71.9     70.8 |    10.14 | 3.41
     48 |     14.6     14.9 |     72.2     71.6 |    11.20 | 3.41
     63 |     17.9     18.1 |     72.5     73.1 |    11.79 | 3.36
     64 |     13.1     13.0 |     70.4     71.1 |    16.36 | 3.36
    100 |     19.9     19.8 |     76.1     76.6 |    17.18 | 3.41
    127 |     22.0     22.0 |     80.3     78.5 |    19.97 | 3.46
    128 |     17.2     17.3 |     74.0     73.4 |    24.64 | 3.32
    255 |     30.6     30.5 |     82.6     82.6 |    28.63 | 3.43
    256 |     25.7     25.9 |     77.8     77.1 |    34.28 | 3.45
    257 |     29.8     29.9 |     79.8     79.4 |    30.10 | 3.49
    511 |     49.9     50.2 |     93.3     94.1 |    35.71 | 3.49
    512 |     41.9     42.0 |     86.1     84.8 |    42.63 | 3.49
    513 |     50.9     52.3 |     95.0     96.1 |    32.24 | 3.20
   1024 |     75.9     77.0 |     97.3     96.5 |    44.95 | 3.33
   1025 |     87.8     87.2 |    118.7    118.3 |    37.37 | 3.20
   4096 |    247.3    247.7 |    269.3    269.1 |    57.24 | 3.46
  16384 |    878.2    880.3 |    899.9    899.5 |    64.99 | 3.48
   avg lat4 over 1..31 B: 70.27 (min-based)  69.94 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      8.0 |     0.00 | 3.35
      1 |     10.9     10.8 |     70.5     69.9 |     0.31 | 3.35
      2 |     10.9     10.7 |     70.9     71.2 |     0.64 | 3.50
      3 |     11.0     11.0 |     71.4     70.8 |     0.95 | 3.49
      4 |     10.2     10.5 |     68.9     68.4 |     1.30 | 3.32
      5 |     10.4     10.4 |     68.9     68.6 |     1.67 | 3.49
      6 |     10.0     10.3 |     69.4     68.4 |     2.01 | 3.34
      7 |     10.5     10.5 |     68.3     67.5 |     2.21 | 3.32
      8 |      9.9     10.1 |     67.0     66.6 |     2.65 | 3.29
      9 |     10.1     10.0 |     67.3     66.7 |     2.99 | 3.34
     10 |     10.1     10.0 |     67.1     67.0 |     3.45 | 3.50
     11 |      9.9     10.1 |     67.9     66.6 |     3.82 | 3.43
     12 |     10.1     10.1 |     66.8     66.0 |     4.17 | 3.50
     13 |     10.3     10.0 |     66.6     66.2 |     4.41 | 3.48
     14 |      9.9     10.0 |     67.5     66.3 |     4.88 | 3.46
     15 |     10.0     10.0 |     65.9     66.0 |     5.19 | 3.46
     16 |      9.9      9.8 |     64.3     63.9 |     5.62 | 3.48
     17 |     12.7     12.8 |     66.5     66.8 |     4.63 | 3.46
     18 |     12.7     12.7 |     66.6     66.0 |     4.91 | 3.46
     19 |     12.7     12.6 |     66.6     66.4 |     5.25 | 3.49
     20 |     12.8     12.8 |     66.3     65.9 |     5.46 | 3.50
     21 |     12.5     12.9 |     66.8     66.9 |     5.71 | 3.39
     22 |     12.6     12.8 |     66.2     65.2 |     5.77 | 3.30
     23 |     12.6     12.6 |     66.6     65.7 |     6.34 | 3.47
     24 |     12.8     12.7 |     66.1     65.6 |     6.55 | 3.50
     25 |     12.7     12.7 |     66.7     66.7 |     6.83 | 3.46
     26 |     12.7     12.7 |     66.9     66.1 |     7.14 | 3.50
     27 |     12.8     12.7 |     66.9     66.2 |     7.38 | 3.50
     28 |     12.6     12.6 |     66.4     66.4 |     7.43 | 3.35
     29 |     12.6     12.8 |     66.2     65.6 |     7.64 | 3.31
     30 |     12.7     12.4 |     66.4     66.5 |     8.24 | 3.49
     31 |     12.6     12.6 |     66.5     65.8 |     8.48 | 3.43
     32 |     12.3     12.2 |     66.8     66.3 |     9.09 | 3.50
     47 |     14.8     14.9 |     68.2     67.8 |    10.94 | 3.44
     48 |     14.2     14.4 |     69.4     68.6 |    11.67 | 3.46
     63 |     16.9     16.9 |     70.8     70.4 |    12.89 | 3.45
     64 |     11.9     12.0 |     68.3     68.0 |    18.47 | 3.43
    100 |     23.4     24.4 |     85.8     84.0 |    13.41 | 3.14
    127 |     25.8     26.0 |     84.7     83.2 |    16.38 | 3.33
    128 |     22.2     22.3 |     86.1     85.3 |    19.31 | 3.35
    255 |     39.0     39.0 |    101.0    104.9 |    21.25 | 3.25
    256 |     34.5     34.6 |    101.5    101.3 |    24.11 | 3.25
    257 |     39.5     40.7 |    108.8    108.9 |    21.12 | 3.24
    511 |     62.7     63.3 |    132.9    133.2 |    27.58 | 3.39
    512 |     59.8     60.4 |    132.7    132.0 |    29.80 | 3.48
    513 |     66.4     66.0 |    138.7    140.8 |    26.61 | 3.44
   1024 |    116.8    118.7 |    198.4    196.2 |    29.22 | 3.33
   1025 |    124.5    128.5 |    201.8    205.3 |    27.15 | 3.30
   4096 |    482.1    490.5 |    575.3    584.1 |    29.61 | 3.49
  16384 |   2038.2   2058.2 |   2122.6   2153.6 |    26.45 | 3.29
   avg lat4 over 1..31 B: 67.31 (min-based)  66.83 (median)
### harness v0  load averages: 3.07 3.39 4.01
Reading random bytes from seed
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":16384,"gbps":14.4541,"gbps_min":13.7703,"gbps_max":14.5372,"ns_per_call":1133.52,"reps":437450,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":16384,"gbps":52.1973,"gbps_min":50.8499,"gbps_max":52.6895,"ns_per_call":313.89,"reps":1610603,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":16384,"gbps":56.1842,"gbps_min":55.0721,"gbps_max":57.7183,"ns_per_call":291.61,"reps":1765585,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":512,"gbps":20.7132,"gbps_min":20.4801,"gbps_max":20.7754,"ns_per_call":24.72,"reps":19484511,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":512,"gbps":30.9906,"gbps_min":30.1970,"gbps_max":31.3912,"ns_per_call":16.52,"reps":30486625,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":512,"gbps":28.7057,"gbps_min":27.2395,"gbps_max":28.8396,"ns_per_call":17.84,"reps":26613211,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
### harness v8  load averages: 3.23 3.40 4.00
Reading random bytes from seed
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":16384,"gbps":26.6013,"gbps_min":26.2556,"gbps_max":26.9155,"ns_per_call":615.91,"reps":777554,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":16384,"gbps":57.6454,"gbps_min":57.4588,"gbps_max":58.1828,"ns_per_call":284.22,"reps":1754716,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":16384,"gbps":61.6685,"gbps_min":60.5514,"gbps_max":62.0394,"ns_per_call":265.68,"reps":1802910,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 64 B blocks, K=5+twist","size_bytes":512,"gbps":27.4211,"gbps_min":27.2899,"gbps_max":27.7021,"ns_per_call":18.67,"reps":27369835,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 256 B blocks, K=5+twist","size_bytes":512,"gbps":36.8049,"gbps_min":36.1660,"gbps_max":37.3306,"ns_per_call":13.91,"reps":35626619,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
{"name":"ChainHash, 1 KB blocks, K=5+twist, S=2","size_bytes":512,"gbps":40.4637,"gbps_min":38.8018,"gbps_max":41.0652,"ns_per_call":12.65,"reps":40248189,"runs":5,"impl_source":"tools/bench/chainhash/chainhash.h"}
### done load averages: 3.23 3.40 3.99
