### bench v7  load averages: 2.43 3.30 3.99
header: hdr/chainhash_v7.h; calibrated core frequency: 3.332 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.2      8.2 |      8.1      8.2 |     0.00 | 3.30
      1 |     11.0     11.1 |     70.4     70.8 |     0.30 | 3.30
      2 |     10.8     11.2 |     71.1     70.8 |     0.60 | 3.23
      3 |     11.0     11.0 |     71.9     71.3 |     0.89 | 3.26
      4 |     10.5     10.6 |     68.8     68.8 |     1.25 | 3.30
      5 |     10.7     10.7 |     68.5     69.0 |     1.53 | 3.27
      6 |     10.4     10.8 |     69.0     68.4 |     1.87 | 3.24
      7 |     10.4     10.6 |     68.7     68.7 |     2.20 | 3.26
      8 |     10.3     10.4 |     67.7     67.7 |     2.59 | 3.34
      9 |     10.2     10.3 |     67.8     67.8 |     2.86 | 3.24
     10 |     10.2     10.3 |     67.3     67.6 |     3.28 | 3.33
     11 |     10.1     10.2 |     67.9     67.5 |     3.66 | 3.36
     12 |     10.0     10.1 |     68.8     67.4 |     4.11 | 3.44
     13 |     10.5     10.6 |     68.1     67.4 |     4.07 | 3.28
     14 |     10.0     10.3 |     67.6     67.4 |     4.63 | 3.30
     15 |     10.0     10.1 |     67.1     66.8 |     5.00 | 3.33
     16 |     10.0     10.1 |     62.9     64.9 |     5.21 | 3.24
     17 |     13.2     13.2 |     68.4     67.5 |     4.20 | 3.26
     18 |     13.4     13.4 |     67.5     67.5 |     4.37 | 3.24
     19 |     13.1     13.3 |     67.6     67.5 |     4.88 | 3.36
     20 |     13.1     13.2 |     65.7     66.5 |     5.05 | 3.30
     21 |     13.2     13.4 |     66.5     66.5 |     5.39 | 3.39
     22 |     13.2     13.3 |     66.9     66.5 |     5.60 | 3.35
     23 |     13.1     13.4 |     67.1     67.3 |     5.86 | 3.33
     24 |     13.5     13.6 |     66.5     66.6 |     6.16 | 3.47
     25 |     13.1     13.2 |     66.3     66.7 |     6.38 | 3.35
     26 |     13.3     13.3 |     66.7     66.6 |     6.82 | 3.48
     27 |     13.0     13.2 |     66.4     66.7 |     6.89 | 3.33
     28 |     13.1     13.1 |     66.7     66.9 |     7.15 | 3.35
     29 |     13.2     13.2 |     66.8     66.2 |     7.39 | 3.36
     30 |     13.1     13.2 |     66.2     66.5 |     7.75 | 3.39
     31 |     13.2     13.2 |     66.5     66.6 |     7.90 | 3.36
     32 |     12.0     12.0 |     66.7     66.2 |     8.96 | 3.36
     47 |     14.9     14.9 |     68.2     68.0 |    10.17 | 3.22
     48 |     13.6     13.7 |     68.7     68.4 |    11.81 | 3.35
     63 |     17.2     17.1 |     70.2     69.6 |    12.25 | 3.34
     64 |     12.2     12.0 |     68.7     68.1 |    17.63 | 3.36
    100 |     18.9     19.1 |     74.9     74.4 |    17.73 | 3.35
    127 |     21.3     20.9 |     76.0     75.8 |    19.98 | 3.34
    128 |     16.2     16.3 |     70.1     69.8 |    25.79 | 3.26
    255 |     29.2     29.3 |     80.4     79.4 |    28.67 | 3.29
    256 |     24.1     24.1 |     72.7     74.2 |    34.67 | 3.26
    257 |     34.1     34.3 |     88.9     87.6 |    24.73 | 3.28
    511 |     53.4     53.6 |     87.2     86.9 |    32.61 | 3.41
    512 |     45.8     45.2 |     86.9     87.2 |    37.24 | 3.33
    513 |     51.3     51.3 |     98.4     98.2 |    33.55 | 3.35
   1024 |     74.4     74.0 |    109.6    109.3 |    46.23 | 3.36
   1025 |     79.9     79.5 |    120.7    120.4 |    43.04 | 3.36
